Time,Backend,GPU_ID,VRAM_MB,Power_W,GPU_Util
1781677733.83,ROCM_SMI,GPU_1,0.0,45.0,0.0
1781677733.83,ROCM_SMI,GPU_2,0.0,50.0,0.0
1781677733.83,ROCM_SMI,GPU_3,0.0,55.0,0.0
1781677733.83,ROCM_SMI,GPU_4,0.0,51.0,0.0
1781677736.02,ROCM_SMI,GPU_1,2456.8,122.0,100.0
1781677736.02,ROCM_SMI,GPU_2,2456.8,126.0,100.0
1781677736.02,ROCM_SMI,GPU_3,2456.8,128.0,100.0
1781677736.02,ROCM_SMI,GPU_4,2456.8,124.0,100.0
1781677738.21,ROCM_SMI,GPU_1,2456.8,122.0,100.0
1781677738.21,ROCM_SMI,GPU_2,2456.8,127.0,100.0
1781677738.21,ROCM_SMI,GPU_3,2456.8,128.0,100.0
1781677738.21,ROCM_SMI,GPU_4,2456.8,124.0,100.0
1781677740.41,ROCM_SMI,GPU_1,2456.8,123.0,100.0
1781677740.41,ROCM_SMI,GPU_2,2456.8,126.0,100.0
1781677740.41,ROCM_SMI,GPU_3,2456.8,128.0,85.0
1781677740.41,ROCM_SMI,GPU_4,2456.8,124.0,100.0
1781677742.60,ROCM_SMI,GPU_1,2456.8,124.0,100.0
1781677742.60,ROCM_SMI,GPU_2,2456.8,129.0,100.0
1781677742.60,ROCM_SMI,GPU_3,2456.8,134.0,100.0
1781677742.60,ROCM_SMI,GPU_4,2456.8,131.0,100.0
1781677744.79,ROCM_SMI,GPU_1,2456.8,129.0,100.0
1781677744.79,ROCM_SMI,GPU_2,2456.8,134.0,100.0
1781677744.79,ROCM_SMI,GPU_3,2456.8,135.0,100.0
1781677744.79,ROCM_SMI,GPU_4,2456.8,132.0,100.0
1781677746.99,ROCM_SMI,GPU_1,2456.8,127.0,100.0
1781677746.99,ROCM_SMI,GPU_2,2456.8,131.0,100.0
1781677746.99,ROCM_SMI,GPU_3,2456.8,133.0,100.0
1781677746.99,ROCM_SMI,GPU_4,2456.8,129.0,100.0
1781677749.18,ROCM_SMI,GPU_1,2456.8,124.0,100.0
1781677749.18,ROCM_SMI,GPU_2,2456.8,129.0,100.0
1781677749.18,ROCM_SMI,GPU_3,2456.8,130.0,100.0
1781677749.18,ROCM_SMI,GPU_4,2456.8,127.0,100.0
1781677751.37,ROCM_SMI,GPU_1,2456.8,124.0,100.0
1781677751.37,ROCM_SMI,GPU_2,2456.8,129.0,100.0
1781677751.37,ROCM_SMI,GPU_3,2456.8,131.0,100.0
1781677751.37,ROCM_SMI,GPU_4,2456.8,127.0,100.0
1781677753.56,ROCM_SMI,GPU_1,2456.8,125.0,100.0
1781677753.56,ROCM_SMI,GPU_2,2456.8,129.0,100.0
1781677753.56,ROCM_SMI,GPU_3,2456.8,130.0,100.0
1781677753.56,ROCM_SMI,GPU_4,2456.8,125.0,100.0
1781677755.75,ROCM_SMI,GPU_1,2456.8,125.0,100.0
1781677755.75,ROCM_SMI,GPU_2,2456.8,127.0,100.0
1781677755.75,ROCM_SMI,GPU_3,2456.8,129.0,100.0
1781677755.75,ROCM_SMI,GPU_4,2456.8,126.0,100.0
1781677757.94,ROCM_SMI,GPU_1,2456.8,124.0,100.0
1781677757.94,ROCM_SMI,GPU_2,2456.8,129.0,100.0
1781677757.94,ROCM_SMI,GPU_3,2456.8,130.0,100.0
1781677757.94,ROCM_SMI,GPU_4,2456.8,126.0,80.0
1781677760.14,ROCM_SMI,GPU_1,2456.8,124.0,78.0
1781677760.14,ROCM_SMI,GPU_2,2456.8,127.0,100.0
1781677760.14,ROCM_SMI,GPU_3,2456.8,129.0,100.0
1781677760.14,ROCM_SMI,GPU_4,2456.8,129.0,100.0
1781677762.33,ROCM_SMI,GPU_1,2456.8,130.0,100.0
1781677762.33,ROCM_SMI,GPU_2,2456.8,134.0,100.0
1781677762.33,ROCM_SMI,GPU_3,2456.8,135.0,100.0
1781677762.33,ROCM_SMI,GPU_4,2456.8,131.0,100.0
1781677764.53,ROCM_SMI,GPU_1,2456.8,130.0,100.0
1781677764.53,ROCM_SMI,GPU_2,2456.8,135.0,100.0
1781677764.53,ROCM_SMI,GPU_3,2456.8,137.0,100.0
1781677764.53,ROCM_SMI,GPU_4,2456.8,132.0,100.0
1781677766.72,ROCM_SMI,GPU_1,2456.8,128.0,100.0
1781677766.72,ROCM_SMI,GPU_2,2456.8,131.0,100.0
1781677766.72,ROCM_SMI,GPU_3,2456.8,133.0,100.0
1781677766.72,ROCM_SMI,GPU_4,2456.8,128.0,100.0
1781677768.91,ROCM_SMI,GPU_1,2456.8,125.0,100.0
1781677768.91,ROCM_SMI,GPU_2,2456.8,130.0,100.0
1781677768.91,ROCM_SMI,GPU_3,2456.8,131.0,100.0
1781677768.91,ROCM_SMI,GPU_4,2456.8,127.0,100.0
1781677771.10,ROCM_SMI,GPU_1,2456.8,126.0,100.0
1781677771.10,ROCM_SMI,GPU_2,2456.8,129.0,100.0
1781677771.10,ROCM_SMI,GPU_3,2456.8,130.0,100.0
1781677771.10,ROCM_SMI,GPU_4,2456.8,128.0,100.0
1781677773.30,ROCM_SMI,GPU_1,2456.8,126.0,100.0
1781677773.30,ROCM_SMI,GPU_2,2456.8,129.0,100.0
1781677773.30,ROCM_SMI,GPU_3,2456.8,131.0,100.0
1781677773.30,ROCM_SMI,GPU_4,2456.8,126.0,100.0
1781677775.49,ROCM_SMI,GPU_1,2456.8,120.0,100.0
1781677775.49,ROCM_SMI,GPU_2,2456.8,125.0,100.0
1781677775.49,ROCM_SMI,GPU_3,2456.8,127.0,100.0
1781677775.49,ROCM_SMI,GPU_4,2456.8,121.0,100.0
1781677777.68,ROCM_SMI,GPU_1,2456.8,126.0,100.0
1781677777.68,ROCM_SMI,GPU_2,2456.8,130.0,100.0
1781677777.68,ROCM_SMI,GPU_3,2456.8,130.0,100.0
1781677777.68,ROCM_SMI,GPU_4,2456.8,128.0,100.0
1781677779.87,ROCM_SMI,GPU_1,2456.8,125.0,100.0
1781677779.87,ROCM_SMI,GPU_2,2456.8,129.0,76.0
1781677779.87,ROCM_SMI,GPU_3,2456.8,129.0,100.0
1781677779.87,ROCM_SMI,GPU_4,2456.8,128.0,100.0
1781677782.07,ROCM_SMI,GPU_1,2456.8,129.0,100.0
1781677782.07,ROCM_SMI,GPU_2,2456.8,134.0,100.0
1781677782.07,ROCM_SMI,GPU_3,2456.8,135.0,100.0
1781677782.07,ROCM_SMI,GPU_4,2456.8,131.0,100.0
1781677784.26,ROCM_SMI,GPU_1,2456.8,131.0,100.0
1781677784.26,ROCM_SMI,GPU_2,2456.8,135.0,100.0
1781677784.26,ROCM_SMI,GPU_3,2456.8,137.0,100.0
1781677784.26,ROCM_SMI,GPU_4,2456.8,133.0,100.0
1781677786.45,ROCM_SMI,GPU_1,2456.8,131.0,100.0
1781677786.45,ROCM_SMI,GPU_2,2456.8,134.0,100.0
1781677786.45,ROCM_SMI,GPU_3,2456.8,135.0,100.0
1781677786.45,ROCM_SMI,GPU_4,2456.8,131.0,100.0
1781677788.64,ROCM_SMI,GPU_1,2456.8,126.0,100.0
1781677788.64,ROCM_SMI,GPU_2,2456.8,130.0,100.0
1781677788.64,ROCM_SMI,GPU_3,2456.8,131.0,100.0
1781677788.64,ROCM_SMI,GPU_4,2456.8,126.0,100.0
1781677790.84,ROCM_SMI,GPU_1,2456.8,128.0,100.0
1781677790.84,ROCM_SMI,GPU_2,2456.8,130.0,100.0
1781677790.84,ROCM_SMI,GPU_3,2456.8,131.0,100.0
1781677790.84,ROCM_SMI,GPU_4,2456.8,128.0,100.0
1781677793.03,ROCM_SMI,GPU_1,2456.8,126.0,100.0
1781677793.03,ROCM_SMI,GPU_2,2456.8,131.0,100.0
1781677793.03,ROCM_SMI,GPU_3,2456.8,132.0,100.0
1781677793.03,ROCM_SMI,GPU_4,2456.8,128.0,100.0
1781677795.22,ROCM_SMI,GPU_1,2456.8,127.0,100.0
1781677795.22,ROCM_SMI,GPU_2,2456.8,130.0,100.0
1781677795.22,ROCM_SMI,GPU_3,2456.8,131.0,100.0
1781677795.22,ROCM_SMI,GPU_4,2456.8,128.0,100.0
1781677797.41,ROCM_SMI,GPU_1,2456.8,127.0,100.0
1781677797.41,ROCM_SMI,GPU_2,2456.8,130.0,100.0
1781677797.41,ROCM_SMI,GPU_3,2456.8,131.0,100.0
1781677797.41,ROCM_SMI,GPU_4,2456.8,128.0,100.0
1781677799.60,ROCM_SMI,GPU_1,2456.8,126.0,100.0
1781677799.60,ROCM_SMI,GPU_2,2456.8,129.0,100.0
1781677799.60,ROCM_SMI,GPU_3,2456.8,130.0,100.0
1781677799.60,ROCM_SMI,GPU_4,2456.8,128.0,100.0
1781677801.80,ROCM_SMI,GPU_1,2456.8,126.0,100.0
1781677801.80,ROCM_SMI,GPU_2,2456.8,128.0,82.0
1781677801.80,ROCM_SMI,GPU_3,2456.8,131.0,100.0
1781677801.80,ROCM_SMI,GPU_4,2456.8,130.0,100.0
1781677804.00,ROCM_SMI,GPU_1,2456.8,131.0,100.0
1781677804.00,ROCM_SMI,GPU_2,2456.8,135.0,100.0
1781677804.00,ROCM_SMI,GPU_3,2456.8,136.0,100.0
1781677804.00,ROCM_SMI,GPU_4,2456.8,133.0,100.0
1781677806.19,ROCM_SMI,GPU_1,2456.8,133.0,100.0
1781677806.19,ROCM_SMI,GPU_2,2456.8,136.0,100.0
1781677806.19,ROCM_SMI,GPU_3,2456.8,138.0,100.0
1781677806.19,ROCM_SMI,GPU_4,2456.8,134.0,100.0
1781677808.38,ROCM_SMI,GPU_1,2456.8,128.0,100.0
1781677808.38,ROCM_SMI,GPU_2,2456.8,134.0,100.0
1781677808.38,ROCM_SMI,GPU_3,2456.8,133.0,100.0
1781677808.38,ROCM_SMI,GPU_4,2456.8,129.0,100.0
1781677810.57,ROCM_SMI,GPU_1,2456.8,128.0,100.0
1781677810.57,ROCM_SMI,GPU_2,2456.8,131.0,100.0
1781677810.57,ROCM_SMI,GPU_3,2456.8,130.0,100.0
1781677810.57,ROCM_SMI,GPU_4,2456.8,128.0,100.0
1781677812.77,ROCM_SMI,GPU_1,2456.8,126.0,100.0
1781677812.77,ROCM_SMI,GPU_2,2456.8,132.0,100.0
1781677812.77,ROCM_SMI,GPU_3,2456.8,131.0,100.0
1781677812.77,ROCM_SMI,GPU_4,2456.8,129.0,100.0
1781677814.96,ROCM_SMI,GPU_1,2456.8,122.0,100.0
1781677814.96,ROCM_SMI,GPU_2,2456.8,125.0,100.0
1781677814.96,ROCM_SMI,GPU_3,2456.8,127.0,100.0
1781677814.96,ROCM_SMI,GPU_4,2456.8,124.0,100.0
1781677817.15,ROCM_SMI,GPU_1,2456.8,126.0,100.0
1781677817.15,ROCM_SMI,GPU_2,2456.8,130.0,100.0
1781677817.15,ROCM_SMI,GPU_3,2456.8,131.0,100.0
1781677817.15,ROCM_SMI,GPU_4,2456.8,128.0,100.0
1781677819.34,ROCM_SMI,GPU_1,2456.8,126.0,100.0
1781677819.34,ROCM_SMI,GPU_2,2456.8,131.0,100.0
1781677819.34,ROCM_SMI,GPU_3,2456.8,132.0,100.0
1781677819.34,ROCM_SMI,GPU_4,2456.8,128.0,100.0
1781677821.54,ROCM_SMI,GPU_1,2456.8,126.0,100.0
1781677821.54,ROCM_SMI,GPU_2,2456.8,128.0,100.0
